Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,VNYMR
1678087502.430977,0,1678087502,424912214,imu1_frame,0,0,0,,0.05814333686958066,-0.026605687402671396,0.030184420329892565,0.9974970629254255,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000692,0.000422,-0.008064,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.499,-1.143,-10.302,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2527,0.1628,0.3394,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.280,-003.244,+006.579,+00.2527,+00.1628,+00.3394,-00.499,-01.143,-10.302,+00.000692,+00.000422,-00.008064*6F\r\n'"
1678087502.4539192,0,1678087502,449750900,imu1_frame,0,0,0,,0.05817731414544926,-0.026440920047312848,0.02999290563980872,0.9975052398244105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000939,0.0126,-0.024209,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.519,-1.173,-10.231,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.251,0.1664,0.3403,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.259,-003.224,+006.584,+00.2510,+00.1664,+00.3403,-00.519,-01.173,-10.231,+00.000939,+00.012600,-00.024209*69\r\n'"
1678087502.4800072,0,1678087502,474948883,imu1_frame,0,0,0,,0.058201508843892795,-0.0263158202871283,0.02972477552375263,0.9975151626371263,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001643,0.002461,-0.013806,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.512,-1.073,-10.015,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2519,0.1682,0.3403,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.229,-003.208,+006.588,+00.2519,+00.1682,+00.3403,-00.512,-01.073,-10.015,+00.001643,+00.002461,-00.013806*65\r\n'"
1678087502.504063,0,1678087502,499929428,imu1_frame,0,0,0,,0.058055607659831934,-0.026417006987723462,0.029708882577463076,0.9975214636573274,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.017177,-0.006304,0.003487,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.525,-1.207,-10.19,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2545,0.1618,0.3366,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.227,-003.219,+006.571,+00.2545,+00.1618,+00.3366,-00.525,-01.207,-10.190,-00.017177,-00.006304,+00.003487*6F\r\n'"
1678087502.5282974,0,1678087502,524801492,imu1_frame,0,0,0,,0.057993288825962976,-0.026412646371402143,0.029663251200313427,0.9975265620979898,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000712,0.000842,-0.001587,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.547,-1.237,-10.228,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2545,0.1618,0.3415,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.222,-003.218,+006.564,+00.2545,+00.1618,+00.3415,-00.547,-01.237,-10.228,+00.000712,+00.000842,-00.001587*62\r\n'"
1678087502.5547926,0,1678087502,549764633,imu1_frame,0,0,0,,0.05799509073659882,-0.026307815377508405,0.029509093404891065,0.9975337997817109,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00235,0.010036,-0.013646,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.568,-1.228,-10.212,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2527,0.1637,0.3404,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.205,-003.205,+006.565,+00.2527,+00.1637,+00.3404,-00.568,-01.228,-10.212,-00.002350,+00.010036,-00.013646*68\r\n'"
1678087502.5796952,0,1678087502,574809312,imu1_frame,0,0,0,,0.057989133695391167,-0.026192005246745795,0.029397736492815667,0.9975404815462436,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.003967,0.010293,-0.008435,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.616,-1.206,-10.269,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2554,0.1682,0.3414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.193,-003.191,+006.565,+00.2554,+00.1682,+00.3414,-00.616,-01.206,-10.269,+00.003967,+00.010293,-00.008435*63\r\n'"
1678087502.6201522,0,1678087502,600047111,imu1_frame,0,0,0,,0.05806843244401483,-0.026040841052325736,0.029251859268068895,0.9975441145534085,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.008791,0.010312,-0.016983,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.605,-1.152,-10.188,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2528,0.1646,0.3472,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.177,-003.173,+006.575,+00.2528,+00.1646,+00.3472,-00.605,-01.152,-10.188,+00.008791,+00.010312,-00.016983*60\r\n'"
1678087502.66432,0,1678087502,624791145,imu1_frame,0,0,0,,0.05812618624912543,-0.025944810259538906,0.029221901273958795,0.9975441312436575,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.004701,0.01023,-0.000922,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.58,-1.113,-10.068,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1637,0.3414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.174,-003.162,+006.582,+00.2536,+00.1637,+00.3414,-00.580,-01.113,-10.068,+00.004701,+00.010230,-00.000922*6E\r\n'"
1678087502.6643817,0,1678087502,649797439,imu1_frame,0,0,0,,0.05801279357051656,-0.026022329833886595,0.029144553847708254,0.9975509756965701,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.005297,0.000704,-0.001695,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.566,-0.988,-10.124,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1664,0.3414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.165,-003.170,+006.569,+00.2536,+00.1664,+00.3414,-00.566,-00.988,-10.124,-00.005297,+00.000704,-00.001695*68\r\n'"
